	ResponseId	MainBranch	Age	Employment	RemoteWork	Check	CodingActivities	EdLevel	LearnCode	LearnCodeOnline	TechDoc	YearsCode	YearsCodePro	DevType	OrgSize	PurchaseInfluence	BuyNewTool	BuildvsBuy	TechEndorse	Country	Currency	CompTotal	LanguageHaveWorkedWith	LanguageWantToWorkWith	LanguageAdmired	DatabaseHaveWorkedWith	DatabaseWantToWorkWith	DatabaseAdmired	PlatformHaveWorkedWith	PlatformWantToWorkWith	PlatformAdmired	WebframeHaveWorkedWith	WebframeWantToWorkWith	WebframeAdmired	EmbeddedHaveWorkedWith	EmbeddedWantToWorkWith	EmbeddedAdmired	MiscTechHaveWorkedWith	MiscTechWantToWorkWith	MiscTechAdmired	ToolsTechHaveWorkedWith	ToolsTechWantToWorkWith	ToolsTechAdmired	NEWCollabToolsHaveWorkedWith	NEWCollabToolsWantToWorkWith	NEWCollabToolsAdmired	OpSysPersonal use	OpSysProfessional use	OfficeStackAsyncHaveWorkedWith	OfficeStackAsyncWantToWorkWith	OfficeStackAsyncAdmired	OfficeStackSyncHaveWorkedWith	OfficeStackSyncWantToWorkWith	OfficeStackSyncAdmired	AISearchDevHaveWorkedWith	AISearchDevWantToWorkWith	AISearchDevAdmired	NEWSOSites	SOVisitFreq	SOAccount	SOPartFreq	SOHow	SOComm	AISelect	AISent	AIBen	AIAcc	AIComplex	AIToolCurrently Using	AIToolInterested in Using	AIToolNot interested in Using	AINextMuch more integrated	AINextNo change	AINextMore integrated	AINextLess integrated	AINextMuch less integrated	AIThreat	AIEthics	AIChallenges	TBranch	ICorPM	WorkExp	Knowledge_1	Knowledge_2	Knowledge_3	Knowledge_4	Knowledge_5	Knowledge_6	Knowledge_7	Knowledge_8	Knowledge_9	Frequency_1	Frequency_2	Frequency_3	TimeSearching	TimeAnswering	Frustration	ProfessionalTech	ProfessionalCloud	ProfessionalQuestion	Industry	JobSatPoints_1	JobSatPoints_4	JobSatPoints_5	JobSatPoints_6	JobSatPoints_7	JobSatPoints_8	JobSatPoints_9	JobSatPoints_10	JobSatPoints_11	SurveyLength	SurveyEase	ConvertedCompYearly	JobSat
17	18	I am a developer by profession	18-24 years old	Independent contractor, freelancer, or self-employed	Remote	Apples	Hobby;Professional development or self-paced learning from online courses	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification	Blogs;Coding sessions (live or recorded);How-to videos;Video-based Online Courses;Certification videos		6	3	Developer, front-end						India			HTML/CSS;JavaScript;TypeScript	HTML/CSS;JavaScript;TypeScript	HTML/CSS;JavaScript;TypeScript				Amazon Web Services (AWS);Digital Ocean;Firebase;Heroku			jQuery;Next.js;React	Next.js;React	Next.js;React				React Native	OpenGL;React Native	React Native	Docker;npm;Vite;Yarn	Docker;pnpm;Vite	Docker;Vite	VSCodium	VSCodium	VSCodium	Windows	Windows	Azure Devops	Azure Devops	Azure Devops	Google Meet;Microsoft Teams;Telegram;Whatsapp	Google Meet;Microsoft Teams	Google Meet;Microsoft Teams	ChatGPT	GitHub Copilot;Google Gemini		Stack Overflow;Stack Exchange	Less than once per month or monthly	Yes	Less than once per month or monthly	Quickly finding code solutions	Neutral	No, but I plan to soon	Favorable												I'm not sure	Replacing jobs without options for new employment opportunities;Imitating a person's likeness	Lack of executive buy-in																																Appropriate in length	Easy		
58	59	I am not primarily a developer, but I write code sometimes as part of my work/studies	18-24 years old	Student, full-time		Apples		Some college/university study without earning a degree	Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification	Stack Overflow;Coding sessions (live or recorded);Social Media;How-to videos;Video-based Online Courses		4		Student						India			C;C++;HTML/CSS;JavaScript;Python;SQL	C++;HTML/CSS;Python	C++;HTML/CSS;Python	SQLite						Django;Node.js	Django	Django	Arduino	Arduino	Arduino				npm			Code::Blocks;PyCharm;Visual Studio Code	Code::Blocks;Visual Studio Code	Code::Blocks;Visual Studio Code	Android;Ubuntu;Windows	Windows				Discord;Telegram;Whatsapp	Whatsapp	Whatsapp	ChatGPT	GitHub Copilot;Google Gemini		Stack Overflow;Stack Exchange	A few times per week	Yes	Less than once per month or monthly	Quickly finding code solutions;Finding reliable guidance from community-vetted answers	Neutral	Yes	Favorable	Increase productivity;Greater efficiency;Make workload more manageable	Somewhat trust	Neither good or bad at handling complex tasks	Debugging and getting help;Search for answers				Search for answers	Debugging and getting help			No	Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Energy demand																																	Appropriate in length	Easy		
75	76	I am learning to code	25-34 years old	Not employed, but looking for work		Apples		Some college/university study without earning a degree	Online Courses or Certification;Coding Bootcamp			4		Designer						India			HTML/CSS;JavaScript	Dart;Kotlin;Swift		MongoDB			Firebase;Heroku;VMware	Digital Ocean		Node.js;React						Flutter;Ionic;React Native			npm			Android Studio;IntelliJ IDEA;Notepad++;Sublime Text;Vim;Visual Studio			Android;Ubuntu;Windows		Asana;Clickup;Miro;Monday.com	Notion;Stack Overflow for Teams		Skype;Slack;Whatsapp;Zoom	Discord;Google Chat		Google Gemini			Stack Overflow;Stack Exchange	Daily or almost daily	Yes	A few times per week	Quickly finding code solutions;Finding reliable guidance from community-vetted answers	Neutral	No, but I plan to soon	Favorable												No	Replacing jobs without options for new employment opportunities;Energy demand	Don’t trust the output or answers;Not everyone uses them																																Appropriate in length	Easy		
89	90	I am learning to code	25-34 years old	Employed, full-time	In-person	Apples	Contribute to open-source projects	Master’s degree (M.A., M.S., M.Eng., MBA, etc.)	School (i.e., University, College, etc);Online Courses or Certification			2		Security professional						India			C;C++;HTML/CSS;Java;JavaScript;PHP;SQL;Visual Basic (.Net)	HTML/CSS;Java;JavaScript;PHP;SQL;Visual Basic (.Net)	HTML/CSS;Java;JavaScript;PHP;SQL;Visual Basic (.Net)	Elasticsearch;MySQL;Oracle	Elasticsearch;MySQL;Oracle	Elasticsearch;MySQL;Oracle	Managed Hosting;VMware			ASP.NET;CodeIgniter;Node.js;WordPress	CodeIgniter;Node.js	CodeIgniter;Node.js	Rasberry Pi	Rasberry Pi	Rasberry Pi	NumPy			npm			Nano;Netbeans;Notepad++;Sublime Text;Vim;Visual Studio;Visual Studio Code	Nano;Notepad++;Visual Studio Code	Nano;Notepad++;Visual Studio Code	Debian;Ubuntu;Windows;Windows Subsystem for Linux (WSL)	Debian;Ubuntu;Windows;Windows Subsystem for Linux (WSL)	Stack Overflow for Teams			Cisco Webex Teams;Discord;Google Meet;Microsoft Teams;Signal;Telegram;Whatsapp;Zoom	Discord;Google Meet;Microsoft Teams;Telegram;Whatsapp	Discord;Google Meet;Microsoft Teams;Telegram;Whatsapp	ChatGPT;Snyk Code	ChatGPT;Snyk Code	ChatGPT;Snyk Code	Stack Exchange	A few times per month or weekly	Yes	Less than once per month or monthly	Finding reliable guidance from community-vetted answers;Engage with community by commenting on questions and answers or voting on questions and answers	Yes, definitely	No, but I plan to soon	Favorable												No	Circulating misinformation or disinformation;Replacing jobs without options for new employment opportunities	Not everyone uses them	Yes	Individual contributor	3.0	Agree	Neither agree nor disagree	Agree	Agree	Agree	Agree	Neither agree nor disagree	Agree	Agree	Never	1-2 times a week	Never	60-120 minutes a day	Less than 15 minutes a day	None of these	Observability tools;Knowledge sharing community	Hybrid (on-prem and cloud)	AI-powered search (free)	Higher Education	80.0	90.0	90.0	50.0	70.0	50.0	50.0	50.0	80.0	Appropriate in length	Easy		8.0
96	97	I am a developer by profession	25-34 years old	Employed, full-time	Remote	Apples	Hobby	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	School (i.e., University, College, etc)			11	7	Developer, mobile						India			Bash/Shell (all shells);C#;JavaScript															.NET (5+) ;.NET MAUI			NuGet			Visual Studio;Visual Studio Code;Xcode	Rider		Android;Windows	Android;iOS;MacOS;Windows	Azure Devops			Microsoft Teams			ChatGPT;GitHub Copilot	ChatGPT;GitHub Copilot;Google Gemini;Meta AI	ChatGPT;GitHub Copilot	Stack Overflow	A few times per week	Yes	Less than once per month or monthly	Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Engage with community by commenting on questions and answers or voting on questions and answers	Yes, somewhat	Yes	Very favorable	Increase productivity;Greater efficiency;Improve accuracy in coding;Make workload more manageable	Somewhat trust	Good, but not great at handling complex tasks	Writing code;Documenting code;Search for answers;Generating content or synthetic data	Learning about a codebase;Project planning;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics		Generating content or synthetic data		Writing code;Documenting code;Search for answers			Yes	Biased results that do not represent diverse viewpoints;Energy demand	AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of executive buy-in;We don’t have the right policies in place to reduce security risks	Yes	Individual contributor	7.0	Agree	Neither agree nor disagree	Disagree	Agree	Neither agree nor disagree	Agree	Agree	Agree	Strongly disagree	1-2 times a week	1-2 times a week	1-2 times a week	30-60 minutes a day	30-60 minutes a day	Amount of technical debt;Tracking my work;Showing my contributions;Maintaining security of code being produced	DevOps function;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery	Cloud only (single or multi-cloud)	A coworker	Software Development	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Too long	Easy		7.0
105	106	I am a developer by profession	25-34 years old	Employed, full-time	Remote	Apples	Hobby;Other (please specify):	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Other online resources (e.g., videos, blogs, forum, online community)	Technical documentation;Blogs;Books;Written Tutorials;Social Media	User guides or README files found in the source repository;First-party knowledge base	7	3	Developer, back-end						India			Bash/Shell (all shells);Go;HTML/CSS;Python	Bash/Shell (all shells);Elixir;Go;HTML/CSS;Python	Bash/Shell (all shells);Go;HTML/CSS;Python	PostgreSQL	PostgreSQL;SQLite	PostgreSQL																Visual Studio Code	Visual Studio Code	Visual Studio Code	Ubuntu	MacOS	Jira	Jira	Jira	Discord;Google Meet;Slack;Telegram	Discord;Google Meet;Slack;Telegram	Discord;Google Meet;Slack;Telegram	ChatGPT;GitHub Copilot	ChatGPT	ChatGPT	Stack Overflow;Stack Exchange	A few times per month or weekly	Yes	Less than once per month or monthly	Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques	No, not really	Yes	Indifferent	Increase productivity;Make workload more manageable	Somewhat distrust	Bad at handling complex tasks	Writing code;Debugging and getting help	Learning about a codebase;Testing code;Committing and reviewing code	Project planning;Documenting code;Deployment and monitoring		Writing code;Debugging and getting help				No	Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Energy demand	Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge	Yes	Individual contributor	2.0	Agree	Strongly agree	Disagree	Neither agree nor disagree	Neither agree nor disagree	Disagree	Agree	Neither agree nor disagree	Neither agree nor disagree	Never	1-2 times a week	1-2 times a week	30-60 minutes a day	Less than 15 minutes a day	Showing my contributions	DevOps function;Continuous integration (CI) and (more often) continuous delivery	Cloud only (single or multi-cloud)	Traditional public search engine	Software Development	0.0	0.0	0.0	30.0	50.0	0.0	20.0	0.0	0.0	Appropriate in length	Easy		1.0
126	127	I am a developer by profession	25-34 years old	Employed, full-time	Hybrid (some remote, some in-person)	Apples	Professional development or self-paced learning from online courses	Master’s degree (M.A., M.S., M.Eng., MBA, etc.)	Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification	Technical documentation;Blogs;Video-based Online Courses;Certification videos;Programming Games	API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine	11	8	Developer, back-end						India			Go;Python	Go;Python	Go;Python	BigQuery;Elasticsearch;PostgreSQL	Dynamodb;PostgreSQL	PostgreSQL	Amazon Web Services (AWS);Google Cloud;Microsoft Azure	Amazon Web Services (AWS);Google Cloud;Microsoft Azure	Amazon Web Services (AWS);Google Cloud;Microsoft Azure	Django;FastAPI;React	Django;FastAPI;React	Django;FastAPI;React				Apache Kafka;NumPy;Pandas;Torch/PyTorch	Apache Kafka;NumPy;Pandas;Torch/PyTorch	Apache Kafka;NumPy;Pandas;Torch/PyTorch	Docker;Kubernetes;Pip	Docker;Kubernetes;Pip	Docker;Kubernetes;Pip	Jupyter Notebook/JupyterLab;Visual Studio Code	Jupyter Notebook/JupyterLab;Visual Studio Code	Jupyter Notebook/JupyterLab;Visual Studio Code	MacOS;Ubuntu	MacOS;Ubuntu	Confluence;Jira	Confluence;Jira	Confluence;Jira	Google Meet;Slack	Google Meet;Slack	Google Meet;Slack	ChatGPT;Perplexity AI	ChatGPT;Perplexity AI	ChatGPT;Perplexity AI	Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast	A few times per month or weekly	Yes	I have never participated in Q&A on Stack Overflow	Quickly finding code solutions;Finding reliable guidance from community-vetted answers	Yes, somewhat	Yes	Very favorable	Increase productivity;Greater efficiency;Speed up learning;Make workload more manageable	Neither trust nor distrust	Good, but not great at handling complex tasks	Debugging and getting help	Documenting code;Predictive analytics;Search for answers;Generating content or synthetic data	Learning about a codebase;Project planning;Writing code;Testing code;Committing and reviewing code;Deployment and monitoring			Debugging and getting help			No	Biased results that do not represent diverse viewpoints;Energy demand	Don’t trust the output or answers	Yes	Individual contributor	7.0	Strongly agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Never	1-2 times a week	1-2 times a week	15-30 minutes a day	30-60 minutes a day	Showing my contributions	DevOps function;Automated testing;Observability tools;AI-assisted technology tool(s);Microservices	Cloud only (single or multi-cloud)	A coworker	Software Development	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Too long	Easy		8.0
140	141	I am not primarily a developer, but I write code sometimes as part of my work/studies	25-34 years old	Not employed, but looking for work		Apples		Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification	Technical documentation;Blogs;Written Tutorials;Stack Overflow;Coding sessions (live or recorded);Social Media;How-to videos;Interactive tutorial;Video-based Online Courses;Written-based Online Courses;AI;Certification videos;Online challenges (e.g., daily or weekly coding challenges)	API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine	8	4	DevOps specialist						India			Bash/Shell (all shells);Dart;JavaScript;Python;SQL	Bash/Shell (all shells);C#;Dart;Go;JavaScript;PowerShell;Python;SQL	Bash/Shell (all shells);Dart;JavaScript;Python;SQL	Elasticsearch;MongoDB;MySQL;Oracle	BigQuery;Cassandra;Dynamodb;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;Oracle	Elasticsearch;MongoDB;MySQL;Oracle	Amazon Web Services (AWS);Firebase;Microsoft Azure;Oracle Cloud Infrastructure (OCI);VMware	Amazon Web Services (AWS);Digital Ocean;Google Cloud;Microsoft Azure;Oracle Cloud Infrastructure (OCI);VMware	Amazon Web Services (AWS);Microsoft Azure;Oracle Cloud Infrastructure (OCI);VMware	Express;Flask;Node.js;React;Spring Boot;WordPress	AngularJS;Django;Express;Next.js;WordPress	Express;WordPress				Flutter;React Native	Flutter;React Native;TensorFlow	Flutter;React Native	Docker;Kubernetes;Maven (build tool);npm;Terraform	Ansible;Chef;Docker;Kubernetes;npm;Terraform	Docker;Kubernetes;npm;Terraform	Android Studio;Notepad++;Vim;Visual Studio Code	Android Studio;IntelliJ IDEA;Notepad++;Vim;Visual Studio Code	Android Studio;Notepad++;Vim;Visual Studio Code	MacOS	Ubuntu	Azure Devops;Confluence;Jira	Azure Devops;Confluence;Jira	Azure Devops;Confluence;Jira	Microsoft Teams	Microsoft Teams	Microsoft Teams	ChatGPT			Stack Overflow;Stack Exchange	Daily or almost daily	Yes	Daily or almost daily	Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Engage with community by commenting on questions and answers or voting on questions and answers;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques	Yes, somewhat	No, but I plan to soon	Favorable												I'm not sure	Circulating misinformation or disinformation;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints;Imitating a person's likeness	AI tools lack context of codebase,  internal architecture, and/or company knowledge																																Appropriate in length	Neither easy nor difficult		
142	143	I am not primarily a developer, but I write code sometimes as part of my work/studies	45-54 years old	Employed, full-time	Hybrid (some remote, some in-person)	Apples	Contribute to open-source projects;Professional development or self-paced learning from online courses;Freelance/contract work	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification;Coding Bootcamp	Technical documentation;Books;Stack Overflow;Coding sessions (live or recorded);Video-based Online Courses;AI;Certification videos	API document(s) and/or SDK document(s);User guides or README files found in the source repository;AI-powered search/dev tool (free);AI-powered search/dev tool (paid)	8	6							India			C;C++;Java	PowerShell;Python;SQL		Oracle	IBM DB2;Microsoft SQL Server		IBM Cloud Or Watson	Microsoft Azure														Eclipse;Jupyter Notebook/JupyterLab;Nano;Notepad++	Visual Studio		AIX	Red Hat;Ubuntu;Windows;Windows Subsystem for Linux (WSL)				Slack	Microsoft Teams;Whatsapp					Stack Overflow;Stack Overflow Blog or Podcast	A few times per month or weekly	Yes	A few times per month or weekly	Learning new-to-me technology/techniques	Neutral	Yes	Very favorable	Greater efficiency	Somewhat trust	Good, but not great at handling complex tasks	Learning about a codebase;Project planning;Writing code;Documenting code;Debugging and getting help;Deployment and monitoring;Predictive analytics	Testing code;Committing and reviewing code;Search for answers;Generating content or synthetic data		Learning about a codebase;Project planning;Documenting code;Debugging and getting help		Deployment and monitoring;Predictive analytics			No	Circulating misinformation or disinformation;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand	Don’t trust the output or answers;Lack of proper training and education on new tools;Lack of executive buy-in;Not everyone uses them	Yes	Individual contributor	9.0	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Never	Never	Never	15-30 minutes a day	30-60 minutes a day	Amount of technical debt;Number of software tools in use;Complexity of tech stack for build;Maintaining security of code being produced;Patching/updating core components	DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative	Hybrid (on-prem and cloud)	AI-powered search (free)	Internet, Telecomm or Information Services	90.0	70.0	99.0	90.0	90.0	90.0	90.0	70.0	90.0	Appropriate in length	Difficult		8.0
164	165	I am a developer by profession	25-34 years old	Employed, full-time	Hybrid (some remote, some in-person)	Apples	Professional development or self-paced learning from online courses	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Other online resources (e.g., videos, blogs, forum, online community)	How-to videos;Interactive tutorial		9	9	Developer, full-stack						India			Java	Java	Java				Google Cloud	Google Cloud	Google Cloud	Spring Boot	Angular;Spring Boot	Spring Boot							Maven (build tool)	Maven (build tool)	Maven (build tool)	IntelliJ IDEA;Notepad++;Visual Studio Code	IntelliJ IDEA;Notepad++;Visual Studio Code	IntelliJ IDEA;Notepad++;Visual Studio Code	Windows	Windows	Jira	Jira	Jira	Microsoft Teams	Microsoft Teams	Microsoft Teams	ChatGPT	ChatGPT	ChatGPT	Stack Overflow;Stack Exchange	Daily or almost daily	Yes	A few times per month or weekly	Quickly finding code solutions	Yes, definitely	Yes	Favorable	Increase productivity	Neither trust nor distrust	Bad at handling complex tasks		Learning about a codebase							No	Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints;Imitating a person's likeness	Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge	No																															Appropriate in length	Easy		
